tag,actionable
after an 18 hr sleep,0
Joint pain!,0
home renovation,0
hydrogen peroxide rinse,0
came home sick,0
feeling a bit more optimistic,0
left-sided pain,0
grumpy ,0
troy made tacos and salsa,0
cut my toenails,0
agressive psychiatrist,0
Tuesday,0
Ate once,0
Work calls,0
canker sore,0
stressed,0
Home,0
strange day,0
suuuuuuper tired today,0
had energy,0
Resolution of source of stress,0
vacuum ,0
tavel,1
Starting my Flaredown log today!,0
Bareburger,0
not sure if the boot on my foot is doing any good,0
moderate activity,0
dairy,1
Period spotting,0
did not to any work,0
visiting teachers,0
nan's,0
infusion,0
Excessive sleep,0
4 hr nap,0
Fire in Santa Barbara,0
went on run,0
Swept,1
work,0
feel worthless for getting house/mom dad don't,0
crackers,0
Standing,0
fry up breakfast,1
Swam,1
chinese veggies and rice,1
stomach a bit off with Keflex,0
CT scan and mannitol,0
Painful (legs),0
pill worked,0
moving furniture,0
Moderate energy,0
recovery,0
Tiring,0
argument with claire,0
run/sprint/walk,0
interview,0
Toastmasters,0
beach,1
pizza,1
fever,0
11 hours sleep,0
awful day,0
ate lunch,0
Really down,0
chilled,0
job centre,0
dog walk,0
got a bit better closer to the end though,0
Tattoo consult,0
good gig,0
gynaecologist,0
Folk,0
then i can work on recovery,0
Ultrasound scan,0
workflow ,0
popsicle,1
Almost fell again today with shaky legs- able to hold onto sink,0
day out,0
Started Deeper Holosync Track,0
extreme pain,0
melatonin to sleep,0
walked a bit,0
avocado,1
red pepper,1
shoulder pain,0
acupuncture,0
Not sleeping well,0
coffee,1
woken,0
fangirl date,0
Holding my own,0
Social plans,0
no dinner,0
bread,1
bolted,0
Happy about stable GI function ,0
water baloons,0
Choking,0
Difficult people,0
had a stressful shower,0
Rest,1
med long run,1
cleaned room,0
TDoR yesterday,0
fell asleep 5am,0
medication issue,0
did errand,0
strangers,0
med checkin broken,0
Bad day ,0
Blood test,0
mourning,0
good health day,0
putty,0
vets,0
Painful Bowel Movements,0
Massage,0
Visitor,0
esther came over!,0
hot and humid outside,0
couldn't sleep,0
lifted stuff,0
Depression,0
Reduced morning meds,0
Busy day,0
today was better tho,0
Dozing all day,0
cloudy ,0
SLEEPMOAR,0
Put speakers in my room,0
chicken piccata,`
Sat in lounge all day,0
relapse yesterday,0
Psychotherapy,1
left work early,0
liquid diet,`
Lab day,0
worked in garden,1
cereal,1
egg white dlite,1
wasted,0
very low energy,0
keep on moving,0
Inactive,1
nate visited,0
soft drink,1
muscles are still a bit sore though,0
Good breakfast,1
bronchitis,0
Everyone depressed,0
Rest day,0
eggs florentine,1
Flight,1
ate rice,1
Awaiting test results,0
Restful day,0
up since 3am,0
clean eating,1
Temp,0
Awesome cheat day,1
Nauseous throughout the day at random times,0
exercised,1
reset alarm clock,0
slept in chair,1
heavy physcial exertion,1
hate school,0
minor joint pain,0
Lots of driving,1
awake in middle of night,0
Medication works- lowers heart rate,0
Normal work day,0
Too much walking yesterday,0
Semiproductive,0
golden beet,1
PAX,0
lewis,0
did errands,0
morning nap,0
PAC,0
Woke up late,0
Anxiety about adding CellCept,0
Anna,0
toast,1
polymorphic light eruption,0
dry eye,0
much better day!,0
fell down,0
cashews,1
Afternoon out,0
steps:646 ,0
Slept for ages,0
board game,0
roommate drama,0
Gave speech,0
anxiety attack,0
struggling with people,0
Weird brain day,0
Fight with Vee,0
Stiff back and neck,0
missed morning headache meds,0
summer headache,0
miserable,0
drove to denton,0
blank/lower mood,0
post-travel day,0
Coaching Session Yesterday,0
Happy,0
txted joaquin,0
ceiling fan installed,0
pam's house,0
field mushrooms and toast,1
POTS flare,0
Missed meals,0
very productive,0
headache and nervy nausea seem fixed,0
Pokemon go,1
5k steps,1
Sore muscles,0
ill,0
Drained ,0
Weight loss,0
Migraine day,0
MOH,0
computer switching,0
moved furniture,0
self-care,0
olive oil,1
out to eat,0
can't get comfortable,0
ate too much,0
hair wash,0
Coldy,0
EEG on Thursday to check for seizures - see if that is why I fall down,0
MADE it on time today-stressful,0
sleepover,0
Working on Home,0
late for work,0
relaxing,0
Went grocery shopping,0
sleep paralysis,0
All i could do to make it through work,0
Dr. DeJong,0
Good GI,0
Boohoos,0
short sleep,1
had a 4 hour nap right after breakfast,1
Went to emergency room,0
didn't use cpap last night,0
dizzy,0
cooked breakfast,1
bad night- got up naked and tried to leave the house.  I remember all of it in the morning.   This could be problematic.,0
hot flush,0
some mild chest discomfort,0
rain,0
New kitty!,0
Cat stepped on me,0
dishes,0
Amina and David,0
good concentration,0
woke up alone,0
nerves feel like red ant bites randomly bite in strange locations,0
Arrowmont,0
eye spasms (both sides),0
Crohns blockage,0
building gas broken,0
everything smells awful,0
cauliflower and potato curry,0
Relocation conversation,0
new bed,0
tired ,0
Have a cold,0
good breakfast,1
low back,0
so tired,0
long run,0
Restaurant,1
NOTHING in particular hurts - same as always fibro pain but I am used to that I THINK,0
slight joint pain,0
end of crash!,0
Walked at lunch time,0
Wine,1
lots of sugar,1
Feeling restless,0
noel sick,0
home alone,1
Day after travel,0
got stuff back,0
in pain,0
out last night,0
full of pain as predicted,0
GI still holding,0
First Acupuncture Treatment,0
Moved today,0
Stable,0
there is a "roof rat" or cat in the attic,0
Played (kink),0
Fantastic day,0
pressure in chest,0
worked out,1
cancelled appointments,0
low appetite,0
Played Go fish,1
Flare,0
coco pops with rice milk,1
Seeds,1
over 5000 steps,1
graduated,0
ants!!,0
Had a nap,0
Stayed late at work a lot this week,0
Msat,0
market day,0
cake,1
7.5 hours of sleep,1
Nauseated ,0
socialization,0
not too hot,0
warm weather,0
Richard at Faith Centre,0
lots of house work,0
little down ,0
fight,0
Leg muscles issue,0
i think it was a crash from going to the er,0
forgetful,0
kid free time,1
home all day,0
social fail,0
mtx,0
GI discomfort,0
out of town guest,0
Symptoms made worse by activity,0
Skipped work,0
emotional,0
Back ache,0
eyes dilated,0
watched tv with troy,0
Knee swelling,0
headache PM,0
no gym,1
recovery from travel day ,0
kinda lazy feeling,0
full moon,0
back home,0
Running,0
test,0
tired on waking,0
cancelled 1 of 2 meetings,0
Painful morning,0
Cider,1
mass transit,1
juiced,1
Bad Cold,0
Otter's family,0
nice phone call,0
phlegm,0
In pain and stuck in my room,0
high temperature weather,0
Weekend away from home,0
Jarred back in wheelchair,0
phone call woke me up,0
Night headache,0
stressed but handling it,0
biked,1
worked yesterday,0
Ear infection,0
Nausea improving but not resolved,0
couscous,1
jogged,0
just a long day,0
probs because i was happy with elyse and erin here,0
vegan,1
Period due,0
Sore hands,0
day at home,1
Hematoma on foot- had to be up early for Doppler,0
disassociated a lot at psych,0
late bedtime - 2:30am,0
event day,0
Cheerful,0
didn't go to class,0
New Chair,0
diarrhoea,0
bodyaches,0
spring cleaning,0
prestorm,0
Broke VLCD,0
skin recovery,0
ohv ride,0
Slept away from home,0
Very Anxious,0
Quiet,1
yawning non stop,0
Loud place,0
obsessing,0
reading on phone,0
healthy dinner,1
took ibuprofen,1
Coffee with sugar and cream,1
INR,0
Lots of energy,0
jeff gone,0
couldn't get out of bed,0
snooze = late to work,0
PC ,0
10am wakeup,0
hiking,1
Angry,0
period paused?,0
Had shower,0
wind fever,0
super anxious,0
family time,0
Rock climbing,1
now i think it might be more muscular,0
didn't do much,0
Blood Sugar HIGH,0
Stiff neck,0
frank died,0
throat pain,0
Diet,0
post relapse,0
a cold,0
ankle is still very sore - one week later,0
took viodin,1
skyped,0
pancakes dinner,1
no sleep last night,1
sore foot,0
Shake wake up,0
Soda crackers,1
mt evans,0
car,0
not great sleep,1
long sleep,1
Hiking with weight,1
procrastinated everything,0
not a bad day,0
Food intolerance,0
registrar's letter,0
spa,1
Belly ick,0
productive,0
PT Knee Excercise,0
argued with claire,0
no lunch,1
sleep study,0
Stretched,0
gal meeting,0
London yesterday,0
sore pectorals,0
bad still had a pretty bad day,0
freezing cold,0
Painful poo,0
hurt all over today,0
Stayed on diet,0
long day,0
vomited,0
sinus congestion,0
slept outside,0
chiropractic,0
black day,0
ER ,0
ate cheese-again,1
tonsilitis,0
Recovery,0
bike shop,0
haircut,1
spicy food,1
cold,0
magpie,0
mixed up words,0
saw samantha,0
River,0
ate meat yesterday,0
tons of people,0
demotivated,0
Eventful,0
AM severe stiffness,0
chilly weather,0
evening shift 4 hrs,0
bad work day,0
adrenaline,0
out sick,0
Head pounding,0
hybrid day,0
no activity,1
lifted weights,1
did too much bending,0
restless sleep,0
WFH,0
couldn't fall asleep,0
low pain,0
Trouble staying asleep,0
Museum,0
loud bird,0
painted my nails,0
getting a new mouse soon,0
terrible cramps,0
good amount of energy,0
spacy,0
still not feeling great,0
out of it,0
counselling course,0
not enough sleep,0
stir fry,1
Depressed and defeated,0
sore from workout,0
earache,0
Menstruating,0
and did a bit of organizing,0
PEM day,0
don't know where that came from,0
finger still improving,0
right knee pain,0
Better afternoon,0
communicating hard,0
Busy work day,0
sore ,0
drove,0
No nap yesterday,0
received the blame from a man,0
which didn't go so well,0
almond milk,1
ran errands in town,0
joint pain on waking,0
Calmer,0
very long day,0
fresh food,1
television,1
no tingling hands,0
karate,0
light period,0
Drained,0
tyre-fixing,0
hot flashes,0
clarinet recital,0
Went swimming,0
arm exercises,0
but did a bit too much sitting up and screen time,0
Calm,0
Fighting with Nate and Elizabeth,0
anger,0
better today than yesterday,0
breakfast,1
muscle pain,0
Medication problems,0
healthy lunch,0
internet guy came,0
house stress,0
blood taken,0
late with evening meds,0
much better than the last approx 3 weeks tbh,0
wellness walk,0
left over migraine - feels like I have been hit by a truck,0
walked to work,0
ate nightshades,0
Restful evening,0
Difficult to eat meals,0
amtrak,0
mri,0
10 hours of sleep,0
and a bit of stomach pain just from things being slow,0
samhain,0
3000 steps,0
sickday,0
tough long run,0
Janet,0
Not home,0
Lots of candy,0
Rested,0
feeling negative,0
it is days like today that I need a low dose of xanax to be able to function,0
stressful day,0
blue color,0
lack of motivation,0
Extra hot flush,0
pigtail tail,0
carrots & strawberries w maple rub,0
small group,0
but i guess we'll see,0
clarytin works better than store brand,0
ate meat,1
FD got annoying,0
went to work late,0
and had a 4 hour nap,0
medicated,0
recovering from back block/epidermal yerterday,0
couldn't use cane,0
Bad day,0
Rain and thunder,0
small dinner,0
period ending,0
trying on clothes ,0
Missed counseling,0
Girls night out,0
productive AM,0
Had a shower,0
weather-hot and muggy,0
Late work day,0
Lower baxk,0
slept 10 hours,1
Cinema,1
did 7 mins of exercise   woohoo,1
had an 18 hour sleep last night,0
toast with butter,1
Good spoons,0
used touchpad for browsing,0
neck headache,0
Hangover,0
Trouble sleeping ,0
olives,1
Pain,0
Worried about tommorow,0
face rash,0
Dentist,0
wheezing,0
no coffee,0
Bad reflux,0
also i had a shower yesterday,0
coconut sugar,1
With family,0
foggy,0
Ate poorly,1
eid,0
left the house,0
cluster headache,0
Bed at 11,1
Alcohol yesterday,1
trouble getting up,0
Reassured about GI and CellCept benefit,0
yawning a bit,0
but i'm a lot better all round today,0
did some homework,1
Bunny cuddles,1
had sex last night,1
hard to think,0
finger looked normal today,0
shoulder ache,0
deja vu,0
Stress at work,0
no breakfast,1
bad news,0
caught pokemon,1
Doctors appt downtown,0
nose thing,0
kinda died,0
Rough morning,0
home sick,0
didn't fall asleep until 5am,0
Sister rudely woke me up,0
fizzy drink,1
Guilt ,0
Audrey and Dom came over,0
very foggy,0
Did not leave the house,0
Saw GP,0
Put away the puzzle,0
Walked the Dogs,0
right side migraine,0
terrible no good day,0
Family Day,0
2pm wake,0
didn't leave chantry,0
Out of plaquenil,0
busy busy busy,0
physiotherapy,1
Spotting,0
Daylight savings start,0
lara bars are BAD,0
No sleep,1
pilates,1
Talking better to Datefriend but still not great,0
Didn't work today,0
lift assessment,0
not sure what my crash is doing,0
Slept well,1
slept at ben's,0
ate too late,0
also shoulders excruciating  cant move or get relief I guess just part of the fun if Fibro,0
scott away,0
gums,0
Protest,0
Blood in stool,0
Meeting,0
House/money problems,0
wonky weather,0
Balance woe,0
Theo at camp,0
retching,0
lol,0
awesome mushroom brunch at Arco Lounge,0
fibromyalgia diagnosis,0
Birthday,0
low,0
shaved my legs,0
took sleeping pill,1
lower dose of msm,1
did squats,1
water retention,0
Met new friends,0
extreme heat,0
sadness,0
exercises x4,0
exercises x3,0
exercises x2,0
Knackered ,0
muscle aches,0
ottawa,0
Lovely evening,0
i HAVE to take it more easily tomorrow,0
Dog to vet,0
event,0
Fun reading,0
good conversation,0
housework,1
stressed with people talking,0
Intense,0
kit gone,0
low mood,0
Sorting boxes,0
pear,0
tiring day at work,0
super tired,0
Otter not feeling good,0
Tidied up,0
started cutting my nails,0
pool,1
Travel soon,0
did a semi bath,0
will be seeing the gp tmrw,0
choir concert,0
deadline,0
5 hours of sleep,0
Lower back pain,0
PMDD,0
pre-deployment,0
blueberries,1
My ankle is still bothering when I walk around too much,0
foster,0
avocado bun,1
ginger ale,1
Confronted a coworker,0
just couldn't be productive,0
Chocolate after 6pm,1
IHurtBad,0
restless child,0
Breakfast,1
CPAP issues,0
cookies,1
throwing up,0
got hair done,1
Super Bowl,0
Day sweats/ chills,0
dissertation,0
twice baked potatoes,1
found out seven died,0
a bit down,0
left work,0
Walking issue,0
didn't poo,0
hard day,0
cool day,0
Very active previous day,0
read science book,1
vet,0
not fully awake,0
eventful,0
symptoms occured late in day,0
Cane,0
Sore Rectum,0
recouperating from eating too much sugar,0
family,1
Not been eating super well,0
Crashed after yard work,0
but recovered okay,0
Otter's birthday,0
self-harmed a lot,0
emotional exhaustion,0
Went out on date,1
more orientation,0
15K steps,1
injury,0
Ate lunch,1
social gathering,1
loss of appetite,0
yuck,0
pasta and pesto,1
Red Dragon Con,0
Out to eat,1
Lots of travel,1
ate dinner,1
Weeded early evening,0
might still be on the adrenaline run from christmas,0
psych rehab,0
Feel Shakey,0
Out of tramadol,0
At Mom and Dad's,0
miserable ,0
went out twice,0
lazy kind of day,0
eyes hurt,0
GI improved today over yesterday,0
ate little,1
Fatigued,0
Hair 'wash',0
Dreamt,0
More energy than usual,0
low blood pressure,0
pulse was a bit low at ~90 bpm,0
Fun with Jesse,0
First trip outside ,0
high levels of anger when exposed to "positive thinking",0
crashing properly now,0
very stressed,0
Researching,0
doritos,1
no sugar,1
late to bed,0
i KNOW better--i can't move quickly in the morning,0
egg,1
got work done,0
weak joints,0
psychologist visit,0
Great Day!,0
Exercise last night,1
wrote!,0
took a muscle relaxer,1
very painful,0
Not a work day,0
can't sleep,0
depo-provera shot,1
had a bit of a conversation with claire and kate,0
peanuts,1
humira shot day,1
motivated,0
fairly good day,0
got very little sleep,0
Worried,0
played bball,0
neck problems,0
bubble and squeak roast,1
pt cancelled,0
high pulse,0
heavy,0
looking for new housing,0
stayed in,0
restless,0
ate red meat,1
allergic reaction,0
Crusader rpg day,0
gardened,1
Went to concert,1
washed and exfoliated my feet,1
now i'm fine,0
moving stock,0
still trying to get accustom to this boot,0
Medical marijuana,1
Drove car,0
must have needed it,0
clear headed,0
Outing on feet,0
Guacamole,1
Boston,0
weight 161,0
weight 160,0
Hard to get up,0
executive dysfunction,0
out and about,0
PC too long,0
hand spasms,0
post exertional,0
Long transit,0
poor self-esteem,0
Drove to work,0
trying to clean the house,1
washing up,1
will try for a bath tomorrow,0
banana,1
Aspie fail,0
back to work,0
bedrest,0
anaphylactic shock,0
blocked sinuses,0
Got frustrated with siblings,0
saw family,0
Legs hurt in evening,0
Organized my closet,0
No Exercise,0
Late,0
Looked at old photos,0
Imodium,1
dad visited,0
no supplements,0
Nik,0
dog kept waking me up,0
Rehearsal,0
L-theanine,1
team outing,0
Thought about romance,0
early morning,0
Job centre,0
could not sleep,0
London trip,0
cystic face,0
archery,1
changed flaredown meters,0
draining sinuses,0
busy day at work,0
Fisher went to work with me,0
Assembled coat stand,0
Fishing,1
stressed about legs and upcoming BU trip,0
hyper,0
humid,0
Stayed at home,0
new allergist first shots,0
stalker,0
saw a movie,0
ear ache,0
paranoid,0
new head pains,0
paranoia,0
Trying to forget,0
hoed allotment,0
Big storm,0
spent afternoon with Kaitlyn,0
Dental pain,0
missed exercise yesterday,0
feels,0
slept in late,0
NOT VERY STABLE TODAY MENTALLY OR PHYSICALLY,0
10 glasses of water,0
day after glutening,0
post LARP,0
perfume,1
felt weird,0
withdrawal,0
electric wheelchair,0
ate an afternoon snack,0
tired today,0
Feel calm,0
cramp,0
dr visit for sore finger,0
great energy today!,0
Book Club,0
Felt better overall,0
garden work,0
slept all day,0
Warped Tour,0
first day of work,0
Evening activities,0
Parental Conflict,0
hypersexual,0
stepdown of medication,0
bad dreams,0
not sure what to,0
stuck in bed,0
woo,0
food fail,0
agressive headache,0
Costco,0
dragon age,0
i'm sick,0
overdid yesterday,0
Infodump,0
Hard,0
used PS4 controller for browsing,0
I have no friends,0
Food prep,0
long drive,0
tired from insomnia,0
Lots of walking,0
Ate Terribly ,0
Cleaned kitchen,0
Sleep deprived,0
sore boobs,0
spotting,0
Cabin,0
yard work ,0
out in afternoon,0
new medication working,0
hopeful in general about GI,0
self-harmed,0
empty,0
accomplished stuff,0
recovery day,0
no caffeine,1
Summer day activities,0
>50 oz water,1
Feel ok,0
hot and humid,0
Assembled ikea furniture,1
sick with cold,0
Sore feet and legs,0
drove out to Scottsdale,0
a bit better after my crash from the shower,0
Low to no stress,0
nan hospital,0
dinner a little spicy,0
camp setup,0
Ate sugar,1
light sensitivity,0
Downloaded music,0
Air travel,0
Vegetarian diet,0
4k steps,0
balmy weather,0
accomplished,0
Alert,0
want to muzzle roommate,0
not stressed,0
Very bad back pain,0
Phyllis,0
Chest CT scan,0
departmentdinner,0
SB diet,0
cleaning,0
Migraine hangover,0
yoghurt and prunes,0
took panadiene for the first time in months,0
Did not work,0
Still holding my own,0
staph,0
High,0
early morning nausea,0
walked around block,0
Chicken Stir Fry,0
worried about unknown things,0
no eye shield last night,0
Not feeling well,0
Derrick ill,0
schoolwork,0
facial spasms (both sides),0
sun rash,0
GY Appoinment,0
trouble thinking,0
Post-period cramps,0
happy and hopeful about GI,0
headache free,0
didn't sleep,0
really happy,0
played computer,1
falling apart,0
crawled,1
light breakfast,1
rested all day,1
Early shift,0
no lyrica,0
Hoping headaches will resolve soon,0
missed the check in yesterday,0
Turned compost,0
Post-Migraine,0
choir sectional,0
reaaaally bad searing headache,0
Possible LH surge,0
achy,0
Superlong nap,1
saw Izzy yesterday,0
strawberry shortcakish,0
sensitive to smell,0
high inflammation,0
stew,0
nerves,0
Went out after work,0
Bad brain day,0
Peeing a lot,0
strong energy then CRASH,0
Point of life,0
Bought a lot of snacks,0
day after heavy symptom day,0
Unhappy,0
high heart rate,0
Right side migraine,0
smelly,0
day after renaissance faire,0
it was a pretty bad day,0
synagogue fail,0
Normal,0
school work,0
Night sweats,0
watched tv,1
slightly worried,0
Dinner with GR,0
Anxiety trigger,0
trying ice and dark,0
Very sleepy,0
Julien,0
cramping,0
chiropractor,0
uti,0
Awake and alert,0
10min walk,0
I'm fucking up,0
Hungry ,0
puked this morning,0
Tv,1
not very social,0
Storms,0
Better AM bowel function,0
super tired in morning,0
third day of period,0
high pollen count,0
bad pump site,0
Great day!,0
nap,1
felt generally awful,0
doctor visit,0
anxious about Boston appointment,0
arm spasms,0
icky belly,0
Day 3 of moving,0
lime juice,0
Stanford,0
muscle soreness,0
AH,0
back pain,0
lunch with sue,0
so-so day,0
Overworked,0
Bus to work,0
idk what's with that,0
School Holiday,0
Healthy eating,0
must be sleeping on it funny,0
worked on trauma at counselor,0
no work,0
outing,0
fell on knee,0
youtube,0
soy sauce,1
Fried food,1
long walk,1
shitty grey mood,0
not working,0
One meal + snacks,1
sun chips,1
Painful,0
emotional stress,0
fangirl day,0
Met new people,0
broke a tooth,0
No chores,0
Stress,0
ate badly,1
vibrator,0
nausea,0
Charlotte,0
Erin and Elyse came up,0
spoonie,0
stiff,0
asparagus,1
think i miiiiiiight have recovered from christmas,0
sedentary,0
all water,0
b12 shot,1
Ended my friendship,0
bike ride,0
fight with mother,0
Headache,0
Late joint pain/Flare,0
meditation ,0
skipped meals,1
espresso,1
slight anxiety,0
stayed up to late last night,0
skin sensitivity,0
Shoulder heat pad,0
raspberries,1
not too much tho,0
focused,0
tried to talk to josh about all the stuff he said,0
Worried about CellCept increase,0
leg cramp in the middle of the night,0
Computer for many hours,1
can't think,0
Sad belly day,0
had a bath,1
but i got it back in fine,0
messed up meds,0
Physical contact,1
Paranoid- no trust,0
singing,1
bad evening,0
walked the dogs,1
slept late,1
Car travel,1
logged later,0
2 Hr Nap,0
35+ weather,0
bushfire,0
but a 10 hr nap seems to have kicked it,0
salaf,0
salad,1
gentle exercise,0
donut,1
sweeting,0
Esther came over,0
stayed in my room all day,0
allergy shot,1
9k steps,0
Lovely,0
alert but argumentative in morning,0
that weird stabbing pain in my heel happened again,0
chiropractor didn't help either - heat 110 is miserable,0
had shower,0
Corset,0
Narky,0
fatigue,0
out of spoons,0
bad sleep last night,0
a bit better off for it i think,0
Ear block,0
and did the tiny one in my room,0
pots test yesterday -> v dizzy but -ve,0
shot of morphine and zofran,0
Paperwork,1
trip prep,0
Ate too late,1
woke up late,1
cold feet at night,0
Ate Late,0
Volunteer,0
Procrastination leads to anxiety,0
good nights sleep,1
greatdday,0
got the job!,0
masters,0
Hard to focus,0
risotto,0
mowed lawn,0
very cold,0
dizzy (pm),0
Went to work,0
not very much activity,0
need pt today,0
core muscle spasms,0
partly cloudy,0
neuropathic pain,0
Ate healthy,1
visited Gary for one hour,0
Sore back,0
activism,0
dr appointment,0
I feel bad,0
Stangers,0
Visiting Solihull,0
forgot things,0
ill?,0
distracting work stuff,0
cold day,0
Packed for summer,0
slightly active,0
7:30 am flushing,0
low protein,1
Apaté Stress,0
Pedicure,1
Board games,1
Rehearsals,1
cilantro salad dressing,1
cloudy/over cast day,0
good Abby,0
party previous night,0
stress dreams,0
short walk,0
walked too much,0
don't wannas,0
okay really kind of died,0
Very anxious,0
hand pain,0
easily confused,0
Dinner with Becky,0
cravings,0
migraine hangover,0
Started B12,0
day off,0
day vitamins,0
had coffee,1
good cry late,0
eyeshadow,0
Assertive,0
Awesome!,0
drank water,1
Anxious about today's DHMC Rheum app't,0
took computer apart,0
sewing,0
hurt back,0
Felt ok,0
droopyeyed,0
Up and down,0
ate rice cereal,0
new job!,0
upset,0
feeling bleh,0
Rested.,0
kate and hamish visit,0
body memory with pt?,0
good spirits,0
12h,0
First day relapse ,0
Not a great day but calmed down,0
sauerkraut,0
watched tv- star trek tng,0
Possible cross-contamination,0
Anxiety up,0
hopeful,0
rash,0
reactive,0
it helped immensely,0
recliner potato,0
Wicked back pain after activity,0
drove around ,0
Changing weather,0
walked forest park,0
no probiotic,0
fallout,0
relief from anxiety meds,0
feel pretty good,0
bad air quality,0
forgot water bottle,0
took naps,1
Silvester,0
cass was sad,0
can't relax,0
Angry breakup,0
Rainy,0
Driving,0
Had lots of sex last night,1
Fairly productive and social,0
nutella on toast,1
baked a cake,1
sensitive to screens,0
15 min walk,0
13 hours of sleep,1
Anxiety about everything,0
Had to pick up my schedule,0
midcycle,0
Manic,0
Excercised,0
nightmare,0
stayed home,0
Testosterone shot,1
11 hours of sleep,1
Not very with it,0
Woke Up With Alarm,1
Visit from Kate and Hamish,0
heavy muscles,0
Rain ,0
skipped dinner,0
still haven't crashed properly from Dr Deed's appointment,0
antisocial,0
traveling for work,0
bad depression,0
rice noodles,1
not sleepy,0
cool weather,0
cold weather,0
Too much to do,0
acupuncture treatment,1
light weight training,0
loose joints,0
sleep in,0
I could not recover....spent rest of day on the couch,0
yay,0
did some metal stamping,0
Raided,0
Bad work day,0
morning fatigue,0
Bloated,0
oversleeping,0
christmas part 2: boxing day,0
working from home,0
sewing compulsions,0
Numb inside,0
brunch,0
Gardening,1
Tired,0
scrambly belly thing,0
child sleepover,0
aura migraine,0
blah day,0
Sensory overload,0
tired around lunch,0
and a bit of dizziness,0
knee pain,0
applied for jobs,0
Relapse,0
home day,0
Barely slept,0
very out of it,0
fear farm,0
Interview,0
strange,0
bowel movement,0
party,1
Had to lie down at work,0
went shopping,0
worked outside,0
mostly only succeeded in getting stressed out,0
partially sunny,0
Mixed nuts snack,1
Very Hot Weather,0
discouraged,0
Mitchell,0
Walked with a cane,0
Brown discharge,0
neuropathy,0
mid afternoon migraine,0
Windy,0
BM,0
warm office at work,0
Sunday,0
no stress as far as I can tell,0
back to back meetings,0
nap in morning,0
needy friend,0
Osteo,0
Bm,0
Eggs,1
anxious about work tomorrow,0
too much to do,0
 toothache,0
allodynia,0
homework,0
morning migraine,0
and then Josh came over later with Mars,0
Shampoo,1
2nd day period,0
kidney pain,0
Adam hard day,0
lost,0
> 40 oz water,1
Sleepy,0
candy,0
Lay in bed in afternoon,0
comfort eating,0
Fight with husband,0
dark stools,0
Applying for job,0
other people making me anxious,0
day 14 of cycle,0
turkey sandwich,1
Loss of vision,0
home,0
Work hard,1
Caregivers Group,0
legs sore,0
panic attack,0
heartache,0
I cant move or do anything because I hurt so much,0
awake early,0
inflammation,0
Congested,0
Dejected,0
cut half my nails today,0
just want to sleep so I do not hurt,0
ate legumes,1
Felt brain okay,0
pet died,0
canceled going to see jenny,0
fybogel,0
computer game,1
Been at the island,0
still recovering from the wedding,0
EXCEPT THE CACW TRAILER COMING OUT,0
Height Fear,0
Low confidence,0
ibs flare,0
11 days sober,0
ultrasound,0
weepy,0
tidied,0
PMS,0
Pain lessened by heat,0
tv - psych,0
no digestion,0
jaw clenching,0
gluten,1
pretty sore,0
strawberries,1
Extreme heat control problems,0
got dressed,0
half cupcake,1
start 15mcg butrans,0
migraine - Relpax not working,0
irritated by tiny things,0
didn't eat breakfast,1
New kitty,0
cruel,0
grad school dreams,0
slightly grumpy,0
bike accident,0
mostly happy,0
crystals,0
ate ice cream cake,0
sun time on saturday,0
back ache,0
Had chocolate truffles,0
Very productive,0
early day,0
had a headache for a lot of today,0
very sick,0
phone conversation,0
dumpling stew,1
Good energy levels,0
Arms fell asleep at night,0
healthcare assessment,0
stabbing belly pain,0
Aquatics,0
friends,0
bath with epsom salt,0
Long work day,0
Dr Perel appointment,0
abdominal discomfort,0
semiproductive,0
Feeling Mentally Clear,0
mild candida flaire-up,0
6 arinin = avf maximum !!!,0
pre-period,0
John's 30th,0
lots of driving,0
social stress,0
time difference,0
woke up without alarm,0
crowded spaces,0
good mood,0
slightly sick,0
swam,1
some shopping,0
Tapering off Zoloft this week,0
mostly bad at end of the day,0
hiding in my room,0
Overheating at night,0
sore stomach,0
Walked way to much,0
low-key,0
Too Hot,0
baking,0
support group,0
ate a bite of something with garlic,0
Difficulty sleeping,0
Cramping After Bowel Movements,0
no energy,0
feeling a burden,0
Crying for no reason,0
kinda dying now,0
also had about 19 hrs sleep last night,0
chest pain still,0
pancakes,0
very active aqua class,1
active,0
dry,0
13k steps,1
sleep attack,0
chicken soup,1
At Home,0
went to emergency but they didn't think it was super concerning,0
Slept ages,0
aikido,0
Onions,1
Autism expo,0
still waiting for cat test results,0
Socialized,0
and i made a pincushion,0
thanks naltrexone!,0
Sore QL,0
Lacking sustenance in diet,0
chest pain is still gone,0
had fun,0
heat wave,0
calm,0
Can't fall asleep,0
drug reaction,0
Sorting,0
hiccups ,0
warm,0
Stressed,0
phone calls,0
Fresh air,1
enamel work,0
trouble focusing,0
movies,0
hard falling asleep,0
over ate,1
day one yesterday,0
period end,0
bunny vet ,0
honey,1
Shoulder pain,0
ran out of meds,0
possibly lung-related,0
rode bike for 15 mins,0
Slept mostly,0
Spent day with sister,0
3 hours of sleep,0
elbows sore,0
Bad back day,0
Xerox- super stressed; my screw up,0
Portuguese Exam,0
PTSD,0
heavy bags,0
andrew memorial,0
Colonoscopy prep,0
evening event,0
walked 2 miles,0
frequent dislocations,0
cold?,0
Only 3am and the day is awful,0
Family time,0
lots of back pain,0
