Metoprolol,Viibryd,Vitamins,Phyical Therapy - stretches,Fluids,Osteopathy,Ambien CR,gluten free,meds,Plaquenil,distraction,Vitamin b complex,Aloe Detox Water,Caffeine,THC,Turmeric,Allegra,Fish oil,Rest,Post-op ice device,Hobbies,Corticosteroids,Tretinoin,gluten free diet,Language Learning,Aleve,ASMR,Claritin,Strattera,Relaxing,Medical Marijuana,Zofran,Clinda-derm,Hydroxyzine,excedrin migraine,SPD alternative treatments,Pet Therapy,Aga,Astelin,breathing exercises,Vitamin B,SAD Light Box,Melatonin,Vitamin C,Klonopin,Medication,CBD,Zomig,Vitamin b12,Vitamin d,Ice pack,massage,physical therapy,Levothyroxine,Extra Medications,Metformin,Exercise,Armodafinil,Therapy,Weather- rain,Social interactions,Tacrolimus,Sunlight,Tranexamic acid,Mirtazapine,Sertraline,stool softener,Cabergoline,magnesium ionic,Zinc,Meditation,TENS Unit,Dicyclomine,Alcohol,Provigil,Pantoprazole,Magnesium glycinate,5-htp,Ventolin,Fexofenadine,Flo-pred,Topamax,Fluoxetine,eye ointment,Daily walk,Exercise--walking,Achy breaky rub,Famotidine,Enada,strapping of shoulder,Nasonex,Coffee,Progesterone,Essential oils,heating pads,Norco,Adderall,Singulair,Montelukast,Sleep,row
,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flo-pred
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,Topamax
0.0,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluoxetine
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,,,,,2.0,,0.0,2.0,,,,0.0,0.0,,2.0,,,eye ointment
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,Daily walk
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,Exercise--walking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,,,2.0,0.0,,,,2.0,2.0,,0.0,,,Famotidine
,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,Enada
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,,2.0,,,,0.0,0.0,,2.0,,,strapping of shoulder
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,,,,,2.0,2.0,,0.0,,,Nasonex
,,0.0,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,Coffee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Progesterone
,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,Essential oils
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,,0.0,,2.0,,,heating pads
,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,2.0,0.0,2.0,,,,,,,,2.0,2.0,,,0.0,,0.0,,,,,2.0,,,,2.0,2.0,2.0,,0.0,,2.0,2.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,2.0,,,,0.0,,,2.0,2.0,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,2.0,,,Norco
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Adderall
,,,,,,2.0,,2.0,,,0.0,,,0.0,,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,,,2.0,,2.0,,,,,0.0,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,,,0.0,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,,,,2.0,2.0,,,,,Singulair
,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,Montelukast
,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep
