humid,Probably have some kind of bug,lots of napping,Ate more than yesterday,PMDD,fine,ate breakfast,runny nose,smoothie,Storms,storms,travelling,Bed after midnight,roof of mouth,bit grumpy,period,uneventful,disappointed,Wind,nausea,Bummed out,lost,frustrated,cloudy,mentally alert,in pain,Worried about uni,saw doctor,tired,cold feet at night,Not much food,Headache,Heavy flow,Made dinner,could not complete activity,withdrawn,stomach cramping,Little activity,hair improved,faitgue,lazy,Slept well,mouth ulcer,slow day,Upset,moody,overall good day,Cold,some activity,PMS,gums,hopeless,stressed,bad pain day,physical therapy,functional,no nap,not a lot of physical activity,Extreme naseua,ironing,No nap yesterday,Up very early,very sore,Trouble sleeping ,Pain,painful feet,Cold night,Pre-storm,reflective,happy,Cold and sore feet,sullen mood,sore,sore gums,stomach bug,Stressed,went on run,depressed,reflux,Sore feet and legs,woke up early,failed stats,very tired,joint pain,Nap,walked,anger,Brittle hair,skipped hydrotherapy,eyes hurt,Lots of activity,not enough sleep ,allergies,isolated,got up late,housework,no lunch,up early,fever,pain,Humidity,fatigue,Got up early,hot weather,alcohol,good sleep,No nap,Weather,Lowly,row
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,gums
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hopeless
0.0,0.0,0.0,0.0,0.0,,,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,2.0,,2.0,0.0,0.00324556051477,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,,,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,stressed
2.0,,,,2.0,,,,,2.0,0.0,,,2.0,,2.0,,,2.0,,,2.0,,2.0,,,,,,,,2.0,2.0,,,2.0,,,2.0,2.0,,,,,,2.0,,,,2.0,2.0,,2.0,,,,,,,,,,,,2.0,,,2.0,2.0,,,,2.0,2.0,,,,2.0,,,,,,0.0,,,,2.0,,,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,2.0,,,,2.0,2.0,bad pain day
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,functional
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,no nap
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,not a lot of physical activity
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,Extreme naseua
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,ironing
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,No nap yesterday
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,Up very early
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,very sore
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Trouble sleeping 
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,Pain
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,painful feet
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Cold night
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,Pre-storm
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,reflective
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,happy
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Cold and sore feet
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,sullen mood
0.0,,,,0.0,,0.0,,0.0,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,2.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,sore
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,sore gums
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,stomach bug
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Stressed
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,went on run
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,depressed
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,reflux
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Sore feet and legs
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,woke up early
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,failed stats
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,very tired
2.0,,,,2.0,,,,,2.0,0.0,,,2.0,,2.0,,,2.0,,,2.0,,2.0,,,,,,,,2.0,2.0,,,2.0,,,2.0,2.0,,,,,,2.0,,,,2.0,2.0,,2.0,0.0,,,,,,,,,,,2.0,,,2.0,2.0,,,,2.0,2.0,,,,2.0,,,,,,,,,,2.0,,,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,2.0,,,,2.0,2.0,joint pain
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Nap
,0.0,0.0,0.0,,,0.0,2.0,0.0,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,0.0,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,,2.0,,2.0,2.0,2.0,0.0,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,walked
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,anger
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,Brittle hair
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,skipped hydrotherapy
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,eyes hurt
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Lots of activity
,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,not enough sleep 
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,allergies
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,isolated
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,got up late
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,housework
,0.0,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,,2.0,,,,,2.0,,0.0,2.0,0.0,,,no lunch
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,,,,,,0.0,,2.0,0.0,2.0,,,up early
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,fever
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,pain
