Triamcinolone Lotion,Vitamins,Hemorrhoid Cream,vitamin c,drank lots of water,farm work,My Goodness Organics meals,ate breakfast,slept 7 hours,blueberries,Prednisone,smoothie,Flonase,dairy,Iceburg Lettuce,foot brace,Gravol,ate tomatoes,bread,Vitamin b complex,Thyreoidum,overeating,Cold Mask,ate gluten,elliptical,Venlafaxine,butternut squash risotto,Ibuprofen 800mg,day at home,CrossFit,read book,Triamcinolone Cream,Hiking,lifted weights,Fish oil,Eicosapentaenoic acid,rice drink breakfast,Biest,exercise - dancing,Beer,Human Growth Hormone,Vicodin,Acetaminophen,Zolpidem,ice cream,Gluten,Docosahexaenoic acid,Citalopram,low acid,Sauna,Indian food,spinach,Biotin,ate rice last night,worked out,exercise,Humira,Off work,Superlong nap,Vitamin C,b12 injection,Allopurinol,ate salsa,exercised,Cleaning ,slept in,Cetirizine,Nortriptyline,stretching,hydrocortisone suppository ,Coenzyme q-10,Vitamin d,Curcumin,Thyrax,swimming,cheese,hiking,Echinacea,had sex,family,singing,Daytime sleep,lots of walking,Sitting,occular migraine meds,walked the dogs,Fructose,Diary,Psychotherapy,Car travel,No red meat,Taco Bell,Calcium citrate,Nycopro Probiotic,strawberries,Midodrine,peanuts,worked,Folic acid,Fresh air,television,puppy training,fructose ,Tylenol,Melatonin,Cannabis CBD capsule 10mg,coconut,studied,Selenium,Vacation,Nap,Pantoprazole,Inflamma-blox,5-htp,Peristeen,Cetirizine hydrochloride,Ocella,new environment,nap,ate rice,ate dairy,flu vaccine injection,knitting,ate eggs,Neti Pot,Seasonique,eggs,Daytime nap,Support worker assistance,Iron,fructose,yoga,catheter,Late lunch,tomato,archery,stress,Iodine,Glycine,walked,Sleep,Fishing,ate cheese-again,travel,row
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,b12 injection
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allopurinol
,,,,,2.0,,,,,,,,,,,,1.20950156487,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99275330878,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,0.693421478613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20950156487,,,,,,,,,,,,,,,,,,,,,,,1.66890351955,,ate salsa
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercised
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Cleaning 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,slept in
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nortriptyline
,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,stretching
,,0.0,,,,,,,,0.0,,0.0,,2.0,,,,,,,,,,,,,,,,,0.0,2.0,,0.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,2.0,2.0,2.0,,2.0,,2.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,2.0,,,,,,0.0,,,,,,,,0.0,,,2.0,,2.0,2.0,2.0,,2.0,,,,,,,,0.0,,,hydrocortisone suppository 
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,Coenzyme q-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,0.0,,,,,,,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,,,2.0,,,,,,,2.0,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,2.0,,,,2.0,,2.0,,,,2.0,,0.0,,,2.0,,,,,,,,,2.0,2.0,,,,0.0,,0.0,,,,,,2.0,,,,2.0,,,0.0,2.0,,,,,,,0.0,2.0,2.0,,,2.0,,,Curcumin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thyrax
,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,swimming
,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,cheese
0.0,,0.236260773043,0.0,2.0,,2.0,,,,1.88776893429,0.0,0.694205908736,,0.0,,,,,,,,,2.0,,,0.0,,0.000591862666649,,,1.99999672579,0.0,,2.0,,,2.0,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0509807841927,,2.22044604925e-16,0.0271203746799,,,,,,,,,0.0,2.0,,,,,,,,,0.0348289624094,,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,2.0,0.0,0.0,,,,2.0,,2.0,,,0.0680994421974,,0.02478742963,0.0,0.0,,0.0,,0.0,,,,,0.0,2.0,,,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echinacea
,,2.0,,,,2.0,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,2.0,,,2.0,,,,,,,,0.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,2.0,,,,,,,0.0348289624094,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,2.0,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,2.0,,,,0.0,,2.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,2.0,,2.0,,,had sex
,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,family
,,,,,0.0,,,,,,,,,,,,0.133506364862,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18997342879,,,,,,,,,0.693421478613,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133506364862,,,,,,,,,,,,,,,,,,,,,,,0.497517925959,,singing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daytime sleep
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,lots of walking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Sitting
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,occular migraine meds
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,walked the dogs
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,Fructose
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,Diary
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,Psychotherapy
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,Car travel
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,No red meat
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,Taco Bell
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcium citrate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nycopro Probiotic
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,strawberries
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midodrine
,0.0,,,,,,,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,,,2.0,,,,,,,2.0,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,2.0,,,,2.0,,,,,2.0,,,,,,,,,2.0,2.0,,,,0.0,,0.0,,,,,,2.0,,,,2.0,,,0.0,2.0,,,,,,,0.0,2.0,2.0,,,2.0,,,peanuts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,worked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folic acid
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,Fresh air
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,television
0.0,,0.0,,2.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,puppy training
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,fructose 
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,Tylenol
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis CBD capsule 10mg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,coconut
0.0,,0.0,,2.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,studied
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,Selenium
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,Vacation
,,2.0,,,,,,,,2.0,,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,,2.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,2.0,,,Nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
0.0,,0.0,,2.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,Inflamma-blox
,0.0,,,,,,,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,,,2.0,,,,,,,2.0,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,2.0,,,,2.0,,0.0,,,2.0,,,,,,,,,2.0,2.0,,,,,,0.0,,,,,,2.0,,,,2.0,,,0.0,2.0,,,,,,,0.0,2.0,2.0,,,2.0,,,5-htp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peristeen
,0.0,,,,,,,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,,,2.0,,,,,,,2.0,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,2.0,,,,2.0,,0.0,,,2.0,,,,,,,,,2.0,2.0,,,,0.0,,,,,,,,2.0,,,,2.0,,,0.0,2.0,,,,,,,0.0,2.0,2.0,,,2.0,,,Cetirizine hydrochloride
,,0.0,,,,,,,,0.0,,0.0,,2.0,,,,,,,,,,,,,,,,,0.0,2.0,,0.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,2.0,,,2.0,,,,,,,,,,0.0,,,,,,,2.0,,2.0,,,,,,,2.0,2.0,2.0,,2.0,,2.0,,,,,,,,,,,2.0,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,,0.0,,,2.0,,2.0,2.0,2.0,,2.0,,,,,,,,0.0,,,Ocella
0.0,,0.0,,2.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,new environment
0.0,,0.0,,2.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,nap
,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674513244763,,,,,,,,,1.20950156487,,,,,,,,,,,,0.0,0.0,,,,,0.133506364862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133010607863,,ate rice
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,ate dairy
,2.0,,,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,flu vaccine injection
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knitting
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,ate eggs
