8k steps,Fluvoxamine,juiced veggies,Naproxen,gluten,spicy food,Went to a party,fuck yeah avocado,ate breakfast,busy,nap,sugar,Plaquenil,woke up late,cuddled kitten,Excedrin,No milk,10K steps,treadmill,Moringa,Magnesium,THC,playing music,Swimming,Flexeril,11K steps,crawled,exercise,AOR Zinc-Copper Balance,gluten free diet,church,sex,Amitriptyline,slept 7 hours,eating out,nsaid,Tyrosine,grocery shopping,Methylphenidate,Synthroid,creative writing,11 hours of sleep,Buffered Salmon Oil - DHA - EPA,Slept well,Hike,Superlong nap,Quiet,listen to music ,Ropinirole,ate garlic,Tavegyl,Sisu B Calm,Trigger Points,slept in,Awesome cheat day,1 slice of cheese,Vitamin d,sun exposure,Yoga,hiking,physical therapy,Levothyroxine,Metformin,Exercise,trying to clean the house,lots of walking,Biosil,Dancing,vacation,Infection,15K steps,Therapy,Topiramate,slept late,banana,rest day,shopping,lower dose of msm,Chiropractic,laundry,crafting,Deep rest,2K steps,Midodrine,bunny cuddles,Thyroid-Pro (CanPrev),Love,slept 9 hours,Ultrasound,Ate poorly,ate a slice of cheese,Swam,Vacation,Worked in evening,prayer,drank alcohol,mountain biking,dairy,Ibuprofen 600mg,B12 timed release,advil,Took ibuprophen,10 hours interrupted sleep,hot,Exercise--walking,ate gluten,ate dairy,Wore arch supports all day,Kayaking,Mixed nuts snack,Voltaren,no breakfast,1 slice of cheese ,Car travel,archery,slept 10 hours,walked,no gluten,mango,Groceries,long walk,travel,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infection
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,15K steps
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,Therapy
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,Topiramate
,,,,,,2.0,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77240012275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,2.0,0.0,slept late
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banana
,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rest day
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,shopping
,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,lower dose of msm
,2.0,,,,,,,,,,,2.0,,,,,0.0,,,2.0,,,,,,,0.0,,2.0,,,,,,,2.0,,2.0,,,,,,,,,0.0,2.0,,0.0,,,,,,,,0.0,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,0.0,,,2.0,0.0,,2.0,,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,Chiropractic
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,laundry
,2.0,,,,,,,,,,,2.0,,,,,0.0,,,2.0,,,,,,,0.0,,2.0,,,,,,,2.0,,2.0,,,,,,,,,0.0,2.0,,0.0,,,,,,,,0.0,2.0,,,,2.0,,,,,,,,,2.0,,,,,,0.0,,,,,2.0,0.0,,2.0,,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,crafting
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,Deep rest
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,2K steps
,0.0,,,,,,,,,,,0.0,,,,2.0,2.0,,2.0,0.0,,,,,,2.0,2.0,,0.0,2.0,,,,,,0.0,2.0,0.0,,,,,2.0,2.0,2.0,,2.0,0.0,,2.0,,,,,,,2.0,2.0,0.0,,,,0.0,,,,,2.0,,,,0.0,,,,2.0,,2.0,2.0,2.0,,,,2.0,,0.0,,0.0,2.0,,2.0,2.0,2.0,,0.0,0.0,1.98756027327,,,,2.0,,0.0,,,,0.0,,,0.0,,,,,,2.0,,,2.0,,,Midodrine
,2.0,,,,,,,,,,,2.0,,,,,0.0,,,2.0,,,,,,,0.0,,2.0,,,,,,,2.0,,2.0,,,,,,,,,0.0,2.0,,0.0,,,,,,,,0.0,2.0,,,,2.0,,,,,,,,,2.0,,,,,,0.0,,0.0,,,2.0,,,2.0,,2.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,bunny cuddles
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,Thyroid-Pro (CanPrev)
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,Love
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,slept 9 hours
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,Ultrasound
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,Ate poorly
,,,,,,,,,,,,,,,,,,0.592349159626,,,,,,,,,0.527778587484,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,ate a slice of cheese
,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,0.0,,,,,0.0,,,0.0,,,Swam
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,Vacation
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,Worked in evening
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,prayer
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,drank alcohol
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,mountain biking
,2.0,,,,,,,,,,,2.0,,,,0.0,0.0,,0.0,2.0,,,,,,0.0,0.0,,2.0,0.0,,,,,,2.0,0.0,2.0,,,,,0.0,0.0,0.0,,0.0,2.0,,0.0,,,,,,,0.0,0.0,2.0,,,,2.0,,,,,0.0,,,,2.0,,,,0.0,,0.0,0.0,0.0,,,1.98756027327,0.0,,2.0,,2.0,0.0,,0.0,0.0,0.0,,2.0,2.0,,,,,0.0,,2.0,,,,2.0,,,2.0,,,,,,0.0,,,0.0,,,dairy
,,,,,,0.0,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,2.0,Ibuprofen 600mg
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,B12 timed release
,,,,,,,,,,,,,,,,,,0.592349159626,,,,,,,,,0.527778587484,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,advil
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,,,2.0,,,,2.0,,,,,,,,,0.0,,,0.0,,,Took ibuprophen
,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,10 hours interrupted sleep
,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,2.0,,,,2.0,,,,,,,2.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,2.0,,,,0.0,,,,,,2.0,,2.0,2.0,2.0,,,,2.0,,,,2.0,,,,,,0.0,,,,,,,,,2.0,,,2.0,,,hot
,,,0.0,,,,0.0,,2.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,2.0,2.0,,,,,,,,0.0,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Exercise--walking
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,ate gluten
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,ate dairy
,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,2.0,,,,2.0,,,,,,,2.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,2.0,,,,0.0,,,,,,2.0,,2.0,2.0,2.0,,,,2.0,,,,2.0,,0.0,,,,,,,,,,,,,2.0,,,2.0,,,Wore arch supports all day
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,Kayaking
,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,Mixed nuts snack
,0.0,,,,,,,,,,,0.0,,,,,2.0,,,0.0,,,,,,,2.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,2.0,0.0,,2.0,,,,,,,,2.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,2.0,,,0.0,2.0,,0.0,,0.0,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Voltaren
,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no breakfast
,,,,,,,,,,,,,,,,,,0.592349159626,,,,,,,,,0.527778587484,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,1 slice of cheese 
0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,Car travel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archery
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept 10 hours
,,,,,,2.0,,,,,,,0.0,,2.0,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,2.0,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,2.0,,,0.0,,2.0,,,,2.0,,,,,,,,,,,,0.0,2.0,0.0,walked
,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,no gluten
,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,mango
,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,2.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,2.0,,,,2.0,,,,,,,,,0.0,,,,,,Groceries
,,,,,,0.0,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,long walk
,,,,,,2.0,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,travel
